timestamp,pid,type,workingSetMB
2026-09-05T11:03:28.7625139-07:00,34092,renderer,30.12
2026-09-05T11:03:29.7849581-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:29.8091312-07:00,9168,gpu-process,633.04
2026-09-05T11:03:29.8286376-07:00,8340,utility,53.25
2026-09-05T11:03:29.8588151-07:00,45576,utility,19.72
2026-09-05T11:03:29.8800398-07:00,30008,renderer,82.7
2026-09-05T11:03:29.8995919-07:00,38120,renderer,694.49
2026-09-05T11:03:29.9243348-07:00,34092,renderer,30.12
2026-09-05T11:03:30.9198403-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:30.9326317-07:00,9168,gpu-process,633.04
2026-09-05T11:03:30.9712866-07:00,8340,utility,53.25
2026-09-05T11:03:30.9907555-07:00,45576,utility,19.72
2026-09-05T11:03:31.0054100-07:00,30008,renderer,82.7
2026-09-05T11:03:31.0309029-07:00,38120,renderer,694.32
2026-09-05T11:03:31.0455349-07:00,34092,renderer,30.12
2026-09-05T11:03:32.0151262-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:32.0295669-07:00,9168,gpu-process,633.07
2026-09-05T11:03:32.0414745-07:00,8340,utility,53.23
2026-09-05T11:03:32.0546192-07:00,45576,utility,19.72
2026-09-05T11:03:32.0811584-07:00,30008,renderer,82.7
2026-09-05T11:03:32.0918743-07:00,38120,renderer,694.32
2026-09-05T11:03:32.1053962-07:00,34092,renderer,30.12
2026-09-05T11:03:33.1575161-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:33.1657283-07:00,9168,gpu-process,633.07
2026-09-05T11:03:33.1784398-07:00,8340,utility,53.23
2026-09-05T11:03:33.1896281-07:00,45576,utility,19.72
2026-09-05T11:03:33.1999712-07:00,30008,renderer,82.7
2026-09-05T11:03:33.2123588-07:00,38120,renderer,694.32
2026-09-05T11:03:33.2232277-07:00,34092,renderer,30.12
2026-09-05T11:03:34.1337201-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:34.1463012-07:00,9168,gpu-process,633.07
